"date_key";"year";"month";"day";"month_name";"day_name";"quarter"
"2025-01-01";2025;1;1;"January";"Wednesday";1
"2025-01-02";2025;1;2;"January";"Thursday";1
"2025-01-03";2025;1;3;"January";"Friday";1
"2025-01-04";2025;1;4;"January";"Saturday";1
"2025-01-05";2025;1;5;"January";"Sunday";1
"2025-01-06";2025;1;6;"January";"Monday";1
"2025-01-07";2025;1;7;"January";"Tuesday";1
"2025-01-08";2025;1;8;"January";"Wednesday";1
"2025-01-09";2025;1;9;"January";"Thursday";1
"2025-01-10";2025;1;10;"January";"Friday";1
"2025-01-11";2025;1;11;"January";"Saturday";1
"2025-01-12";2025;1;12;"January";"Sunday";1
"2025-01-13";2025;1;13;"January";"Monday";1
"2025-01-14";2025;1;14;"January";"Tuesday";1
"2025-01-15";2025;1;15;"January";"Wednesday";1
"2025-01-16";2025;1;16;"January";"Thursday";1
"2025-01-17";2025;1;17;"January";"Friday";1
"2025-01-18";2025;1;18;"January";"Saturday";1
"2025-01-19";2025;1;19;"January";"Sunday";1
"2025-01-20";2025;1;20;"January";"Monday";1
"2025-01-21";2025;1;21;"January";"Tuesday";1
"2025-01-22";2025;1;22;"January";"Wednesday";1
"2025-01-23";2025;1;23;"January";"Thursday";1
"2025-01-24";2025;1;24;"January";"Friday";1
"2025-01-25";2025;1;25;"January";"Saturday";1
"2025-01-26";2025;1;26;"January";"Sunday";1
"2025-01-27";2025;1;27;"January";"Monday";1
"2025-01-28";2025;1;28;"January";"Tuesday";1
"2025-01-29";2025;1;29;"January";"Wednesday";1
"2025-01-30";2025;1;30;"January";"Thursday";1
"2025-01-31";2025;1;31;"January";"Friday";1
"2025-02-01";2025;2;1;"February";"Saturday";1
"2025-02-02";2025;2;2;"February";"Sunday";1
"2025-02-03";2025;2;3;"February";"Monday";1
"2025-02-04";2025;2;4;"February";"Tuesday";1
"2025-02-05";2025;2;5;"February";"Wednesday";1
"2025-02-06";2025;2;6;"February";"Thursday";1
"2025-02-07";2025;2;7;"February";"Friday";1
"2025-02-08";2025;2;8;"February";"Saturday";1
"2025-02-09";2025;2;9;"February";"Sunday";1
"2025-02-10";2025;2;10;"February";"Monday";1
"2025-02-11";2025;2;11;"February";"Tuesday";1
"2025-02-12";2025;2;12;"February";"Wednesday";1
"2025-02-13";2025;2;13;"February";"Thursday";1
"2025-02-14";2025;2;14;"February";"Friday";1
"2025-02-15";2025;2;15;"February";"Saturday";1
"2025-02-16";2025;2;16;"February";"Sunday";1
"2025-02-17";2025;2;17;"February";"Monday";1
"2025-02-18";2025;2;18;"February";"Tuesday";1
"2025-02-19";2025;2;19;"February";"Wednesday";1
"2025-02-20";2025;2;20;"February";"Thursday";1
